backbone,dataset,spec,ndcg_at_10,delta_vs_identity,ci_lower,ci_upper,p_value,significant_05,bytes_per_vector,corpus_bytes,fit_ms,encode_ms,query_latency_ms,query_p95_ms
gte-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=4))",0.075382,-0.341299,-0.354655,-0.327907,0.000200,1,4,34696,0.0,0.0,0.031719,0.031719
gte-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=6))",0.150696,-0.265986,-0.281108,-0.251076,0.000200,1,6,52044,0.0,0.0,0.031803,0.031803
gte-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=8,n_bits=8))",0.215599,-0.201082,-0.216129,-0.186289,0.000200,1,8,69392,0.0,0.0,0.032099,0.032099
gte-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=16,n_bits=4))",0.120556,-0.296125,-0.310755,-0.281804,0.000200,1,8,69392,0.0,0.0,0.062646,0.062646
gte-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=16,n_bits=6))",0.190226,-0.226456,-0.240800,-0.212100,0.000200,1,12,104088,0.0,0.0,0.062702,0.062702
gte-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=16,n_bits=8))",0.247781,-0.168900,-0.182614,-0.155379,0.000200,1,16,138784,0.0,0.0,0.062772,0.062772
gte-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=32,n_bits=4))",0.202818,-0.213863,-0.227956,-0.199758,0.000200,1,16,138784,0.0,0.0,0.123846,0.123846
gte-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=32,n_bits=6))",0.267362,-0.149319,-0.161540,-0.137213,0.000200,1,24,208176,0.0,0.0,0.123718,0.123718
gte-base,arguana,"composed(truncate(keep_dim=128)+product_quantize(n_subspaces=32,n_bits=8))",0.309710,-0.106972,-0.117952,-0.096269,0.000200,1,32,277568,0.0,0.0,0.124314,0.124314
gte-base,arguana,composed(truncate(keep_dim=128)+binary),0.158013,-0.258669,-0.272272,-0.245680,0.000200,1,16,138784,0.0,0.0,0.000527,0.000527
gte-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=4,n_bits=4))",0.054066,-0.362615,-0.376236,-0.349004,0.000200,1,2,17348,0.0,0.0,0.016748,0.016748
gte-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=4,n_bits=6))",0.125594,-0.291087,-0.306488,-0.275704,0.000200,1,3,26022,0.0,0.0,0.016244,0.016244
gte-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=4,n_bits=8))",0.234167,-0.182514,-0.199132,-0.165643,0.000200,1,4,34696,0.0,0.0,0.017199,0.017199
gte-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=8,n_bits=4))",0.075166,-0.341515,-0.355473,-0.327508,0.000200,1,4,34696,0.0,0.0,0.032044,0.032044
gte-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=8,n_bits=6))",0.167938,-0.248744,-0.264553,-0.233045,0.000200,1,6,52044,0.0,0.0,0.031454,0.031454
gte-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=8,n_bits=8))",0.262358,-0.154323,-0.170594,-0.138304,0.000200,1,8,69392,0.0,0.0,0.033070,0.033070
gte-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=16,n_bits=4))",0.143933,-0.272748,-0.287249,-0.257857,0.000200,1,8,69392,0.0,0.0,0.063112,0.063112
gte-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=16,n_bits=6))",0.238351,-0.178331,-0.192855,-0.163906,0.000200,1,12,104088,0.0,0.0,0.062397,0.062397
gte-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=16,n_bits=8))",0.277592,-0.139089,-0.151957,-0.126162,0.000200,1,16,138784,0.0,0.0,0.063489,0.063489
gte-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=32,n_bits=4))",0.207959,-0.208723,-0.222773,-0.195300,0.000200,1,16,138784,0.0,0.0,0.124312,0.124312
gte-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=32,n_bits=6))",0.269678,-0.147003,-0.159475,-0.134396,0.000200,1,24,208176,0.0,0.0,0.124168,0.124168
gte-base,arguana,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=32,n_bits=8))",0.326491,-0.090190,-0.100852,-0.079487,0.000200,1,32,277568,0.0,0.0,0.124826,0.124826
gte-base,arguana,composed(truncate(keep_dim=256)+binary),0.248343,-0.168338,-0.181070,-0.156144,0.000200,1,32,277568,0.0,0.0,0.000583,0.000583
