backbone,dataset,spec,ndcg_at_10,delta_vs_identity,ci_lower,ci_upper,p_value,significant_05,bytes_per_vector,corpus_bytes,fit_ms,encode_ms,query_latency_ms,query_p95_ms
bge-base,fiqa,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=4,n_bits=8))",0.043743,-0.362495,-0.390563,-0.334649,0.000200,1,4,230552,0.0,0.0,0.062954,0.062954
bge-base,fiqa,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=8,n_bits=4))",0.015612,-0.390626,-0.417931,-0.362716,0.000200,1,4,230552,0.0,0.0,0.094745,0.094745
bge-base,fiqa,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=8,n_bits=6))",0.048029,-0.358210,-0.385414,-0.331739,0.000200,1,6,345828,0.0,0.0,0.095810,0.095810
bge-base,fiqa,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=8,n_bits=8))",0.081679,-0.324560,-0.350947,-0.298506,0.000200,1,8,461104,0.0,0.0,0.109790,0.109790
bge-base,fiqa,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=16,n_bits=4))",0.060344,-0.345894,-0.372481,-0.320121,0.000200,1,8,461104,0.0,0.0,0.176496,0.176496
bge-base,fiqa,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=16,n_bits=6))",0.121106,-0.285133,-0.309422,-0.261584,0.000200,1,12,691656,0.0,0.0,0.181947,0.181947
bge-base,fiqa,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=16,n_bits=8))",0.175423,-0.230816,-0.253083,-0.207849,0.000200,1,16,922208,0.0,0.0,0.205069,0.205069
bge-base,fiqa,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=32,n_bits=4))",0.159604,-0.246634,-0.269395,-0.223610,0.000200,1,16,922208,0.0,0.0,0.349512,0.349512
bge-base,fiqa,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=32,n_bits=6))",0.235469,-0.170769,-0.191312,-0.149864,0.000200,1,24,1383312,0.0,0.0,0.361906,0.361906
bge-base,fiqa,"composed(truncate(keep_dim=256)+product_quantize(n_subspaces=32,n_bits=8))",0.272482,-0.133756,-0.151711,-0.115843,0.000200,1,32,1844416,0.0,0.0,0.398423,0.398423
bge-base,fiqa,composed(truncate(keep_dim=256)+binary),0.186372,-0.219866,-0.241605,-0.197529,0.000200,1,32,1844416,0.0,0.0,0.002179,0.002179
